955160004221612037	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.SingletonScope$1.get(SingletonScope.java:145) 
955160004221612038	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalFactoryToProviderAdapter.get(InternalFactoryToProviderAdapter.java:41) 
955160004221612039	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator$1.call(InternalInjectorCreator.java:205) 
955160004221612040	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator$1.call(InternalInjectorCreator.java:199) 
955160004221612041	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InjectorImpl.callInContext(InjectorImpl.java:1092) 
955160004221612042	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator.loadEagerSingletons(InternalInjectorCreator.java:199) 
955160004221612043	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator.injectDynamically(InternalInjectorCreator.java:180) 
955160004221612045	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator.build(InternalInjectorCreator.java:110) 
955160004221612046	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.Guice.createInjector(Guice.java:96) 
955160004221612048	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.Guice.createInjector(Guice.java:84) 
955160004221612051	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.inject.guice.GuiceBuilder.injector(GuiceInjectorBuilder.scala:181) 
